case_ID, plaintiff_song, defendant_song, year, juridiction, label, access, melody, scope, protectable_material, context_override, notes, source
1,I'm Eighteen,Dreamin',1998,,,,,,,,Undisclosed settlement,[47]
2,Unnamed tracks,13 tracks on the album The Miseducation of Lauryn Hill (1998),1998,,,,,,,,Undisclosed settlement,[46]
3,If We Could Start All Over,You Are Not Alone,2007,,,,,,,,Condemnation for plagiarism of its solo writer R. Kelly,[56]
4,I'm Not Alone,Yeah 3x,2010,,,,,,,,Songwriting credit,[66]
5,Work This Pussy,WTP,2019,,,,,,,,Settled between Vasquez and Kanye West who wrote the song,[102]
6,Jealous Again,Work Hard, Play Harder,2008,,,,,,,,Songwriting credit,[62]
7,You Need Love,Whole Lotta Love,1985,,,,,,,,Settled out of court for undisclosed amount,[19]
8,Playaz Club,Who Do You Love,2014,,,,,,,,$100,000,[73]
9,How Sweet to Be an Idiot,Whatever,1994,,,,,,,,Songwriting credit,[38]
10,Love Is in the Air,Warm in the Winter,2020,,,,,,,,Litigated; not settled,[113]
11,If I Could Fly,Viva la Vida,2009,,,,,,,,Case dismissed,[64]
12,Young Girls,Uptown Funk,2016,,,,,,,,Undisclosed settlement,[81]
13,Oops Up Side Your Head,Uptown Funk,2015,,,,,,,,17% royalties and songwriting credit,[79][80]
14,More Bounce to the Ounce,Uptown Funk,2017,,,,,,,,Undisclosed settlement,[89]
15,Funk You Up,Uptown Funk,2017,,,,,,,,Case dismissed,[90]
16,Baby I'm Yours,Treasure,2012,,,,,,,,Songwriting credits,[71]
17,You Showed Me,Transmitting Live from Mars,1989,,,,,,,,$1.7 million,[26]
18,Seven Nation Army,Toy,2018,,,,,,,,Songwriting credits and royalties,[94][95][96]
19,Unnamed,Thug,1983,,,,,,,,Undisclosed amount,[4]
20,Made In America,This Is America,2021,,,,,,,,Not settled,[114]
21,Let's Get It On,Thinking Out Loud,2018,,,,,,,,Ruled in favor of Sheeran.,[99][100]
22,When I Found You,The Rest of Our Life,2018,,,,,,,,Undisclosed settlement,[97]
23,Run Through the Jungle,The Old Man Down the Road,1988,,,,,,,,Six-person jury decided in Fogerty's favor in November 1988,[25]
24,Takin' Me to Paradise,The Most Beautiful Girl in the World,2015,,,,,,,,Songwriting credits and compensation for moral rights,[77]
25,Mbube,The Lion Sleeps Tonight,2006,,,,,,,,Back royalties and songwriting credits,[55]
26,Killing Floor,The Lemon Song,1970s,,,,,,,,Songwriting credit,[11]
27,The Machine film score (2013),The Hills,2015,,,,,,,,Undisclosed settlement,[78]
28,“If You Could Read My Mind" (1970),“The Greatest Love of All" (1977),1987,,,,,,,,Settled out of court; Lightfoot withdrew the lawsuit feeling it had a negative impact on Whitney Houston, who covered the song in 1985,[22][23]
29,Sweet Little Sixteen,Surfin' U.S.A.,1966,,,,,,,,Songwriting credit, copyright having already been assigned to Berry via Arc Music,[3]
30,Stop Breakin' Down Blues,Stop Breakin' Down,2000,,,,,,,,Settled,[18][51]
31,Uptight (Everything's Alright),Step Out,1996,,,,,,,,Songwriting credit,[41]
32,I Won't Back Down,Stay With Me,2015,,,,,,,,12.5% songwriting credit,[75]
33,Hooyo,Starboy,2018,,,,,,,,Litigated; not settled,[78]
34,Taurus,Stairway to Heaven,2016,,,,,,,,Appeals court found that "Stairway to Heaven" was not plagiarized[82],[83]
35,Baby Can I Hold You,Sorry,2020,,,,,,,,$450,000,[111]
36,Ring the Bell,Sorry,2016,,,,,,,,Ruled in favor of Bieber,[86]
37,Les chansons d'artistes,Si seulement je pouvais lui manquer,2016,,,,,,,,€80,000,[84][10]
38,Oh Why,Shape of You,2018,,,,,,,,Ruled in favor of Ed Sheeran,[93]
39,No Scrubs,Shape of You,2017,,,,,,,,Negotiations to clear an interpolation started before "Shape of You" was released but not finalized until afterwards. Songwriting credits &amp; royalties,[92]
40,I'd Like to Teach the World to Sing (In Perfect Harmony),Shakermaker,1994,,,,,,,,$500,000,[40]
41,Playas Gon' Play,Shake It Off,2017,,,,,,,,Case dismissed,[91]
42,Trouble Is a Friend,Selos,2024,,,,,,,,Songwriting credit,[124]
43,I Don't Give a Fuck,Scream &amp; Shout,2018,,,,,,,,Songwriting credits and 10% royalties,[98]
44,The Man Who Can't Be Moved,Say You Won't Let Go,2018,,,,,,,,Settled, with Danny O'Donoghue and Mark Sheehan, the writers of "The Man Who Can't Be Moved", each receiving a co-writing credit for "Say You Won't Let Go".,[101]
45,Get Ur Freak On,Safaera,2022,,,,,,,,25% royalties,[121]
46,Leaving on a Jet Plane,Run 2,1991,,,,,,,,Songwriting credit,[29][30]
47,I'm a Roadrunner,Roll with It,1990,,,,,,,,Songwriting credit,[28]
48,Broad Day,Rodeo,2019,,,,,,,,Litigated, not settled,[106]
49,Wherever You Are,Riad N' the Bedouins,2009,,,,,,,,Undisclosed,[65]
50,Good Times,Rapper's Delight,1979,,,,,,,,Undisclosed settlement and songwriting credits,[15]
51,Sunrise,Pray for Me,2020,,,,,,,,Litigated; Not settled,[109]
52,Play with Fire,Playing with Fire,2008,,,,,,,,Settled,[60]
53,Amazing,Photograph,2017,,,,,,,,Privately settled in April 2017,[87]
54,Naked,Peppa's Party Time,2020,,,,,,,,Songwriting credits and royalties,[110]
55,Mancry,Party All the Time,2009,,,,,,,,Settled,[2]
56,Sugar Don't Bite,Papa Don't Preach,1985,,,,,,,,Undisclosed amount,[20]
57,I Was Made for Lovin' You,Outlaw Pete,2009,,,,,,,,Kiss did not pursue legal action over respect for Springsteen.,[63]
58,Metal on Metal,Nur Mir,1999,,,,,,,,Ruled in favor of Kraftwerk,[50]
59,Gyöngyhajú lány,New Slaves,2017,,,,,,,,Undisclosed settlement,[88]
60,He's So Fine,My Sweet Lord,1971,,,,,,,,$1,599,987 to Bright Tunes; subsequently reduced to $587,000,[8][9]
61,My Life Is in Your Hands,My Life Is in Your Hands,2003,,,,,,,,Alternating lyrics, misspelled songwriting credits, and uncrediting of the song's publishers.,[54]
62,I Need a Freak,My Humps,2011,,,,,,,,$1.2 million and 75% songwriting credits,[68]
63,Mulheres,Million Years Ago,2015,,,,,,,,A Brazilian court ruled that Adele had to cease publication of "Million Years Ago".,[76]
64,Thank You,Mi Bebito Fiu Fiu,2022,,,,,,,,Sample used without permission, which led Silva to remove the song from streaming services after it went viral to avoid legal issues,[122]
65,Stan,Mi Bebito Fiu Fiu,2022,,,,,,,,Sample used without permission, which led Silva to remove the song from streaming services after it went viral to avoid legal issues,[122]
66,Where Are You Now,Maxine's Interlude,2011,,,,,,,,Settled for an undisclosed amount,[69]
67,I Want to Thank You,Make It Happen,1992,,,,,,,,$500,000,[31]
68,Holly Wood Died,Lucid Dreams,2019,,,,,,,,Yellowcard dropped its lawsuit against Juice Wrld after his death. However, the band could still refile the lawsuit if it changed its mind.,[108]
69,Love Is a Wonderful Thing,Love Is a Wonderful Thing,1994,,,,,,,,Under the Ninth Circuit ruling, the Isleys were to be paid $4.2 million,[39]
70,Love in Vain,Love in Vain,2000,,,,,,,,Settled,[18][51]
71,Wiggle and Giggle All Night,Levitating,2022,,,,,,,,Not settled,[119]
72,Live Your Life,Levitating,2022,,,,,,,,Not settled,[118]
73,Llorando se fue,Lambada,1990,,,,,,,,Songwriting credit,[27]
74,Chorando Se Foi,Lambada,1990,,,,,,,,Songwriting credit,
75,Feuilles Mortes,La Maritza,1971,,,,,,,,The totality of the song royalties were confiscated and went to Joseph Kozma heirs,[10]
76,Pulsion,Kill You,2002,,,,,,,,Settled,[52]
77,Just Another Night,Just Another Night,1988,,,,,,,,Six-person jury decided in Jagger's favor in April 1988,[24]
78,It's a Man's World (But What Would He Do Without a Woman),It's a Man's Man's Man's World,1966,,,,,,,,Copyright of the song and a third of the royalties,[2]
79,Within You Without You,Indus,1996,,,,,,,,Songwriting credit,[42]
80,Under Pressure,Ice Ice Baby,1993,,,,,,,,Undisclosed amount and songwriting credit,[35]
81,Every Breath You Take,I'll Be Missing You,1997,,,,,,,,100% of the publishing royalties,[45]
82,(I'd Do) Anything for You,I'd Do Anything for Love,1993,,,,,,,,Undisclosed settlement,[34]
83,Around the World,I Got It from My Mama Remix,2007,,,,,,,,Denial of sample clearance, leading to the cancellation of the remix's official release,[58]
